,zip,walkscore,state,county,area_codes,country,latitude,longitude,irs_estimated_population
12348,28791,4,NC,Henderson County,828,US,35.36,-82.51,12640
12349,28792,6,NC,Henderson County,828,US,35.32,-82.46,28390
12351,28801,60,NC,Buncombe County,828,US,35.59,-82.56,10590
12353,28803,64,NC,Buncombe County,828,US,35.57,-82.54,28460
12354,28804,61,NC,Buncombe County,828,US,35.65,-82.56,18340
12355,28805,6,NC,Buncombe County,828,US,35.63,-82.48,15540
12356,28806,36,NC,Buncombe County,828,US,35.57,-82.61,36480
12357,28810,26,NC,Buncombe County,828,US,35.57,-82.54,0
12362,28901,0,NC,Cherokee County,828,US,35.19,-83.82,4120
12363,28902,1,NC,Clay County,"706, 762, 828",US,35.02,-83.96,1230
12365,28904,3,NC,Clay County,"706, 762, 828",US,35.04,-83.81,7740
12366,28905,0,NC,Cherokee County,828,US,35.17,-83.92,2570
12367,28906,59,NC,Cherokee County,"423, 706, 762, 828",US,35.09,-84.02,16400
12368,28909,0,NC,Clay County,"706, 762, 828",US,34.99,-83.9,870
