,zip,walkscore,state,county,area_codes,country,latitude,longitude,irs_estimated_population
11985,28339,0,NC,Harnett County,"472, 910",US,35.32,-78.67,5770
11986,28340,1,NC,Robeson County,"472, 843, 854, 910",US,34.49,-79.11,7640
11987,28341,0,NC,Duplin County,"472, 910, 919, 984",US,35.11,-78.13,3270
11989,28343,0,NC,Scotland County,"472, 843, 854, 910",US,34.75,-79.6,1160
11990,28344,0,NC,Sampson County,"472, 910",US,35.21,-78.68,2800
11991,28345,0,NC,Richmond County,"472, 843, 854, 910",US,34.88,-79.7,9800
11992,28347,0,NC,Richmond County,"472, 910",US,35.03,-79.54,810
11993,28348,4,NC,Cumberland County,"472, 910",US,34.97,-78.95,34520
11994,28349,0,NC,Duplin County,"472, 910, 919, 984",US,34.96,-77.96,2850
11996,28351,0,NC,Scotland County,"472, 843, 854, 910",US,34.85,-79.58,3870
11997,28352,10,NC,Scotland County,"472, 843, 854, 910",US,34.76,-79.47,17970
12000,28356,0,NC,Cumberland County,"472, 910",US,35.25,-78.74,5180
12001,28357,0,NC,Robeson County,"472, 910",US,34.88,-79.07,2430
12002,28358,0,NC,Robeson County,"472, 910",US,34.63,-79.01,26870
12004,28360,0,NC,Robeson County,"472, 910",US,34.67,-79.07,10240
12006,28363,0,NC,Scotland County,"472, 910",US,34.96,-79.55,930
12007,28364,0,NC,Robeson County,"472, 843, 854, 910",US,34.73,-79.35,10330
12008,28365,0,NC,Wayne County,"252, 472, 910, 919, 984",US,35.19,-78.06,12680
12009,28366,0,NC,Sampson County,"472, 910, 919, 984",US,35.25,-78.35,4580
12012,28369,0,NC,Robeson County,"472, 910",US,34.46,-79.01,1710
12014,28371,9,NC,Cumberland County,"472, 910",US,34.9,-79.01,6690
12015,28372,0,NC,Robeson County,"472, 910",US,34.68,-79.19,10320
12016,28373,1,NC,Moore County,"472, 910",US,35.1,-79.47,2350
12017,28374,28,NC,Moore County,"472, 910",US,35.18,-79.46,18380
12019,28376,0,NC,Hoke County,"472, 910",US,34.97,-79.22,40010
12020,28377,0,NC,Robeson County,"472, 910",US,34.81,-79.18,9480
12022,28379,0,NC,Richmond County,"472, 704, 843, 854, 910, 980",US,34.93,-79.76,19700
12024,28382,0,NC,Sampson County,"472, 910",US,34.95,-78.51,5890
12025,28383,0,NC,Robeson County,"472, 843, 854, 910",US,34.53,-79.29,5720
12026,28384,0,NC,Robeson County,"472, 910",US,34.8,-78.97,9920
12027,28385,0,NC,Sampson County,"472, 910",US,35.01,-78.5,2810
12028,28386,0,NC,Robeson County,"472, 910",US,34.83,-79.11,4870
12029,28387,10,NC,Moore County,"472, 910",US,35.18,-79.4,13940
12031,28390,3,NC,Harnett County,"472, 910, 919, 984",US,35.17,-78.98,20700
12032,28391,5,NC,Cumberland County,"472, 910",US,35.01,-78.69,5160
12033,28392,7,NC,Bladen County,"472, 910",US,34.73,-78.79,1420
12034,28393,0,NC,Sampson County,"472, 910",US,34.99,-78.18,1680
12035,28394,0,NC,Moore County,"472, 910, 919, 984",US,35.25,-79.28,5100
12036,28395,0,NC,Cumberland County,"472, 910",US,35.16,-78.73,2550
12037,28396,0,NC,Scotland County,"472, 910",US,34.88,-79.36,2260
12038,28398,53,NC,Duplin County,"472, 910, 919, 984",US,34.99,-78.08,5780
12039,28399,0,NC,Bladen County,"472, 910",US,34.74,-78.7,1510
